timestamp,src_ip,dst_ip,event_type,severity,vuln_count,asset_id,asset_criticality,past_incidents,auth_failures,malware_alerts,anomalous_bytes,label_high_risk
2025-08-23T05:24:35.354899,10.0.102.209,172.16.139.113,normal,low,6,asset-022,5,0,3,1,0.778,0
2025-08-23T06:24:35.354899,10.0.93.246,172.16.104.83,brute_force,medium,6,asset-045,1,2,5,0,0.431,0
2025-08-23T07:24:35.354899,10.0.229.74,172.16.61.174,data_exfil,medium,3,asset-040,1,1,1,2,8.683,0
2025-08-23T08:24:35.354899,10.0.146.162,172.16.144.141,brute_force,low,4,asset-041,1,2,3,1,1.683,0
2025-08-23T09:24:35.354899,10.0.234.75,172.16.110.169,vuln_found,low,2,asset-031,1,0,1,0,0.919,0
2025-08-23T10:24:35.354899,10.0.182.41,172.16.229.128,vuln_found,medium,3,asset-050,4,1,0,0,1.196,0
2025-08-23T11:24:35.354899,10.0.66.183,172.16.201.115,brute_force,medium,3,asset-025,3,0,3,3,1.299,0
2025-08-23T12:24:35.354899,10.0.200.11,172.16.45.126,malware_alert,low,6,asset-023,5,0,0,8,1.023,0
2025-08-23T13:24:35.354899,10.0.70.124,172.16.171.125,malware_alert,low,0,asset-034,1,0,2,3,0.314,1
2025-08-23T14:24:35.354899,10.0.138.36,172.16.77.141,normal,medium,4,asset-028,3,0,1,0,1.066,0
2025-08-23T15:24:35.354899,10.0.79.211,172.16.117.206,port_scan,medium,4,asset-006,2,2,1,0,0.725,0
2025-08-23T16:24:35.354899,10.0.85.169,172.16.104.95,malware_alert,high,3,asset-032,2,0,1,7,1.306,0
2025-08-23T17:24:35.354899,10.0.183.223,172.16.11.50,port_scan,medium,0,asset-019,2,0,0,1,0.383,0
2025-08-23T18:24:35.354899,10.0.195.148,172.16.106.51,malware_alert,medium,3,asset-017,5,0,0,3,0.049,0
2025-08-23T19:24:35.354899,10.0.244.235,172.16.127.7,normal,medium,4,asset-005,4,0,2,1,1.337,0
2025-08-23T20:24:35.354899,10.0.63.203,172.16.118.60,vuln_found,medium,4,asset-043,1,2,2,1,1.206,0
2025-08-23T21:24:35.354899,10.0.214.208,172.16.244.27,phishing_click,medium,10,asset-047,5,1,1,2,1.287,0
2025-08-23T22:24:35.354899,10.0.116.30,172.16.137.6,port_scan,medium,9,asset-018,1,0,0,1,0.376,0
2025-08-23T23:24:35.354899,10.0.163.146,172.16.241.106,port_scan,low,5,asset-042,1,1,0,3,0.097,0
2025-08-24T00:24:35.354899,10.0.210.137,172.16.82.131,port_scan,low,0,asset-047,3,1,1,5,0.292,0
2025-08-24T01:24:35.354899,10.0.128.94,172.16.187.84,normal,medium,4,asset-040,2,0,0,1,1.727,0
2025-08-24T02:24:35.354899,10.0.152.177,172.16.128.219,data_exfil,medium,7,asset-012,2,2,2,2,8.612,0
2025-08-24T03:24:35.354899,10.0.2.146,172.16.121.119,brute_force,medium,9,asset-032,1,0,8,1,0.312,0
2025-08-24T04:24:35.354899,10.0.235.197,172.16.53.171,phishing_click,medium,8,asset-047,4,2,0,0,0.368,0
2025-08-24T05:24:35.354899,10.0.242.238,172.16.91.199,malware_alert,high,4,asset-041,4,0,0,4,1.481,0
2025-08-24T06:24:35.354899,10.0.109.76,172.16.246.117,phishing_click,low,6,asset-033,5,1,2,2,1.31,0
2025-08-24T07:24:35.354899,10.0.173.228,172.16.220.8,phishing_click,low,4,asset-026,5,0,2,1,0.138,0
2025-08-24T08:24:35.354899,10.0.170.204,172.16.246.236,malware_alert,low,6,asset-043,4,2,0,3,2.334,1
2025-08-24T09:24:35.354899,10.0.4.69,172.16.25.181,normal,medium,3,asset-041,5,0,2,1,1.481,0
2025-08-24T10:24:35.354899,10.0.150.117,172.16.138.200,normal,medium,0,asset-026,1,0,2,0,0.534,0
2025-08-24T11:24:35.354899,10.0.232.121,172.16.32.31,vuln_found,medium,7,asset-023,1,0,2,1,0.131,0
2025-08-24T12:24:35.354899,10.0.37.58,172.16.24.146,brute_force,low,1,asset-005,2,2,3,0,0.293,0
2025-08-24T13:24:35.354899,10.0.142.226,172.16.32.234,vuln_found,medium,4,asset-028,4,0,2,1,0.223,0
2025-08-24T14:24:35.354899,10.0.124.44,172.16.186.80,phishing_click,medium,5,asset-014,4,2,0,1,0.286,0
2025-08-24T15:24:35.354899,10.0.114.197,172.16.108.79,normal,low,0,asset-022,5,1,1,0,0.543,0
2025-08-24T16:24:35.354899,10.0.234.252,172.16.244.142,vuln_found,medium,4,asset-038,2,0,0,1,0.688,0
2025-08-24T17:24:35.354899,10.0.239.12,172.16.161.60,normal,high,8,asset-033,1,1,1,1,0.941,0
2025-08-24T18:24:35.354899,10.0.237.215,172.16.84.123,malware_alert,medium,0,asset-050,3,0,0,6,0.707,0
2025-08-24T19:24:35.354899,10.0.160.161,172.16.99.46,normal,high,3,asset-019,3,2,1,0,0.071,0
2025-08-24T20:24:35.354899,10.0.165.141,172.16.245.167,malware_alert,low,2,asset-013,1,1,1,12,1.997,0
2025-08-24T21:24:35.354899,10.0.223.251,172.16.219.119,normal,high,9,asset-008,2,1,0,0,0.424,0
2025-08-24T22:24:35.354899,10.0.194.182,172.16.167.197,normal,low,7,asset-004,4,3,0,1,1.034,0
2025-08-24T23:24:35.354899,10.0.178.228,172.16.155.171,normal,medium,4,asset-020,5,0,2,1,0.471,0
2025-08-25T00:24:35.354899,10.0.108.206,172.16.136.254,brute_force,high,11,asset-027,2,0,4,0,0.525,0
2025-08-25T01:24:35.354899,10.0.245.162,172.16.224.88,malware_alert,low,5,asset-027,1,3,2,2,0.319,0
2025-08-25T02:24:35.354899,10.0.54.151,172.16.158.166,data_exfil,high,1,asset-049,4,0,1,0,4.963,0
2025-08-25T03:24:35.354899,10.0.198.131,172.16.238.110,malware_alert,low,5,asset-015,2,1,2,9,0.459,0
2025-08-25T04:24:35.354899,10.0.217.29,172.16.162.98,port_scan,high,1,asset-037,1,0,0,1,1.113,1
2025-08-25T05:24:35.354899,10.0.28.130,172.16.70.125,port_scan,medium,5,asset-023,2,1,0,0,1.035,1
2025-08-25T06:24:35.354899,10.0.126.118,172.16.220.181,malware_alert,low,0,asset-028,4,0,0,4,0.767,1
2025-08-25T07:24:35.354899,10.0.22.145,172.16.58.150,brute_force,low,4,asset-016,1,0,1,0,2.247,0
2025-08-25T08:24:35.354899,10.0.187.207,172.16.37.81,normal,low,9,asset-015,5,0,2,2,1.785,0
2025-08-25T09:24:35.354899,10.0.179.43,172.16.168.185,normal,medium,5,asset-015,2,0,0,0,1.784,1
2025-08-25T10:24:35.354899,10.0.67.2,172.16.235.5,normal,medium,4,asset-042,2,1,0,1,0.06,0
2025-08-25T11:24:35.354899,10.0.87.169,172.16.249.213,normal,medium,4,asset-020,1,2,0,0,1.25,0
2025-08-25T12:24:35.354899,10.0.68.193,172.16.182.250,port_scan,medium,7,asset-008,2,0,1,1,1.287,0
2025-08-25T13:24:35.354899,10.0.67.46,172.16.173.51,data_exfil,medium,2,asset-048,1,1,0,1,1.585,0
2025-08-25T14:24:35.354899,10.0.219.203,172.16.128.26,normal,high,0,asset-013,2,2,2,2,0.38,0
2025-08-25T15:24:35.354899,10.0.92.101,172.16.196.34,brute_force,medium,9,asset-023,1,1,5,2,0.909,0
2025-08-25T16:24:35.354899,10.0.14.119,172.16.115.66,brute_force,medium,5,asset-003,2,0,3,0,1.342,0
2025-08-25T17:24:35.354899,10.0.197.230,172.16.26.251,port_scan,medium,4,asset-005,5,1,0,0,0.103,0
2025-08-25T18:24:35.354899,10.0.115.41,172.16.27.217,normal,high,4,asset-030,1,0,1,2,0.408,0
2025-08-25T19:24:35.354899,10.0.98.68,172.16.45.216,vuln_found,medium,0,asset-037,2,1,1,1,0.225,0
2025-08-25T20:24:35.354899,10.0.100.137,172.16.210.111,brute_force,low,2,asset-004,3,3,3,3,1.882,0
2025-08-25T21:24:35.354899,10.0.233.155,172.16.18.119,brute_force,low,7,asset-010,5,1,3,0,0.212,0
2025-08-25T22:24:35.354899,10.0.167.159,172.16.13.191,data_exfil,medium,0,asset-034,1,2,0,1,5.999,0
2025-08-25T23:24:35.354899,10.0.110.39,172.16.200.161,normal,low,0,asset-011,5,1,1,0,0.924,0
2025-08-26T00:24:35.354899,10.0.148.11,172.16.251.115,data_exfil,high,0,asset-033,2,1,1,1,2.704,0
2025-08-26T01:24:35.354899,10.0.150.130,172.16.184.231,normal,medium,3,asset-014,5,1,1,1,0.353,0
2025-08-26T02:24:35.354899,10.0.41.198,172.16.239.219,data_exfil,medium,2,asset-021,2,1,0,2,3.131,0
2025-08-26T03:24:35.354899,10.0.132.102,172.16.112.175,malware_alert,medium,3,asset-009,1,0,0,8,1.046,0
2025-08-26T04:24:35.354899,10.0.206.63,172.16.102.232,port_scan,low,6,asset-036,5,2,0,1,0.102,0
2025-08-26T05:24:35.354899,10.0.92.105,172.16.73.56,normal,high,0,asset-047,5,2,1,1,0.118,0
2025-08-26T06:24:35.354899,10.0.73.49,172.16.241.40,normal,high,3,asset-029,1,0,2,1,0.229,0
2025-08-26T07:24:35.354899,10.0.181.212,172.16.146.45,data_exfil,medium,8,asset-044,5,0,0,1,1.284,1
2025-08-26T08:24:35.354899,10.0.94.171,172.16.194.90,data_exfil,medium,6,asset-013,3,3,0,2,10.451,1
2025-08-26T09:24:35.354899,10.0.83.39,172.16.78.136,normal,high,7,asset-046,5,0,2,1,0.079,1
2025-08-26T10:24:35.354899,10.0.141.137,172.16.115.209,port_scan,low,1,asset-012,1,1,2,0,2.097,0
2025-08-26T11:24:35.354899,10.0.245.31,172.16.193.22,port_scan,low,4,asset-028,4,2,1,0,0.543,0
2025-08-26T12:24:35.354899,10.0.64.187,172.16.1.144,brute_force,low,4,asset-003,5,1,6,0,0.363,0
2025-08-26T13:24:35.354899,10.0.26.210,172.16.88.143,vuln_found,medium,2,asset-019,4,0,1,0,0.998,0
2025-08-26T14:24:35.354899,10.0.214.227,172.16.24.120,data_exfil,low,0,asset-007,3,2,0,0,3.625,0
2025-08-26T15:24:35.354899,10.0.132.45,172.16.19.35,phishing_click,high,9,asset-024,1,1,1,0,1.323,0
2025-08-26T16:24:35.354899,10.0.178.26,172.16.192.28,normal,low,1,asset-018,2,0,0,1,0.186,0
2025-08-26T17:24:35.354899,10.0.233.205,172.16.235.44,port_scan,medium,7,asset-021,1,2,1,1,0.577,0
2025-08-26T18:24:35.354899,10.0.203.221,172.16.7.150,normal,medium,0,asset-027,3,1,1,0,0.618,0
2025-08-26T19:24:35.354899,10.0.77.43,172.16.127.184,malware_alert,low,4,asset-022,3,2,0,6,0.039,1
2025-08-26T20:24:35.354899,10.0.234.148,172.16.249.2,data_exfil,low,3,asset-040,3,0,3,0,12.935,0
